Date,Servername,WAITTYPE,WAIT_S,RESOURCE_S,SIGNAL_S,WAIT_Count,Percentage,AvgWait_s,AvgRes_S,AvgSig_S
2025-11-18,HC1DBSQ55QV,LCK_M_X,20894.88000,20894.70000,.18000,893.00000,1.99,23.398499999999999,23.39830,.00020
2025-11-18,AWSDBSQ31PV,CXPACKET,2542164.64000,2351561.79000,190602.85000,1797646291.00000,1.04,0.0014,.00130,.00010
2025-11-18,AWSDBSQ31QV,SOS_WORK_DISPATCHER,15820079.08000,15817254.85000,2824.23000,5903515.00000,91.609999999999999,2.6798000000000002,2.67930,.00050
2025-11-18,AWSDBSQ31QV,CXCONSUMER,278987.28000,267129.98000,11857.30000,62095478.00000,1.6200000000000001,4.4999999999999997E-3,.00430,.00020
2025-11-18,AWSDBSQ31QV,PAGEIOLATCH_SH,274653.21000,272931.32000,1721.89000,81282903.00000,1.5900000000000001,3.3999999999999998E-3,.00340,.00000
2025-11-18,AWSDBSQ31QV,QDS_ASYNC_QUEUE,261349.36000,261349.26000,.10000,462.00000,1.51,565.69129999999996,565.69100,.00020
2025-11-18,AWSDBSQ31UV,SOS_WORK_DISPATCHER,16904601.44000,16903164.41000,1437.03000,4403010.00000,93.359999999999999,3.8393000000000002,3.83900,.00030
2025-11-18,AWSDBSQ31UV,CXCONSUMER,270297.61000,245872.59000,24425.02000,199996212.00000,1.49,0.0014,.00120,.00010
2025-11-18,AWSDBSQ31UV,QDS_ASYNC_QUEUE,260285.62000,260285.45000,.17000,465.00000,1.4399999999999999,559.75400000000002,559.75370,.00040
2025-11-18,AWSDBSQ37QV,SOS_WORK_DISPATCHER,79858759.08000,79857763.97000,995.11000,5890213.00000,88.659999999999997,13.5579,13.55770,.00020
2025-11-18,AWSDBSQ37QV,CXPACKET,7588451.46000,7496221.44000,92230.02000,1087771051.00000,8.4199999999999999,7.0000000000000001E-3,.00690,.00010
2025-11-18,AWSDBSQ37UV,SOS_WORK_DISPATCHER,42071473.28000,42071338.27000,135.01000,5941940.00000,98.170000000000002,7.0804,7.08040,.00000
2025-11-18,AWSDBSQ48DV,SOS_WORK_DISPATCHER,11545847.17000,11545768.90000,78.27000,1026210.00000,99.879999999999995,11.250999999999999,11.25090,.00010
2025-11-18,AWSDBSQ48PV,SOS_WORK_DISPATCHER,85560982.54000,85560254.61000,727.93000,8675655.00000,97.519999999999996,9.8621999999999996,9.86210,.00010
2025-11-18,AWSDBSQ48QV,SOS_WORK_DISPATCHER,11102919.75000,11102817.85000,101.90000,1009718.00000,99.920000000000002,10.9961,10.99600,.00010
2025-11-18,HC1DBSQ27PV,ASYNC_NETWORK_IO,794.04000,793.93000,.11000,2477.00000,8.7899999999999991,0.3206,.32050,.00000
2025-11-18,HC1DBSQ27PV,WRITELOG,505.16000,485.86000,19.30000,590892.00000,5.5899999999999999,8.9999999999999998E-4,.00080,.00000
2025-11-18,HC1DBSQ33DV,ASYNC_NETWORK_IO,1083.29000,1081.89000,1.40000,106074.00000,19.300000000000001,1.0200000000000001E-2,.01020,.00000
2025-11-18,HC1DBSQ33DV,MSQL_DQ,584.78000,584.78000,.00000,28.00000,10.42,20.884799999999998,20.88480,.00000
2025-11-18,HC1DBSQ33DV,PREEMPTIVE_COM_QUERYINTERFACE,584.78000,584.78000,.00000,42.00000,10.42,13.9232,13.92320,.00000
2025-11-18,HC1DBSQ33DV,OLEDB,584.31000,584.31000,.00000,40.00000,10.41,14.607699999999999,14.60770,.00000
2025-11-18,HC1DBSQ33DV,WRITELOG,526.30000,512.61000,13.68000,435341.00000,9.3800000000000008,1.1999999999999999E-3,.00120,.00000
2025-11-18,HC1DBSQ33DV,BACKUPBUFFER,453.43000,448.83000,4.61000,295034.00000,8.0800000000000001,0.0015,.00150,.00000
2025-11-18,HC1DBSQ33DV,PAGEIOLATCH_SH,53.04000,51.63000,1.41000,35189.00000,0.93999999999999995,0.0015,.00150,.00000
2025-11-18,HC1DBSQ33DV,CXCONSUMER,47.69000,46.33000,1.37000,4707.00000,0.84999999999999998,0.0101,.00980,.00030
2025-11-18,HC1DBSQ33DV,ASYNC_IO_COMPLETION,446.91000,446.91000,.00000,190.00000,7.96,2.3521999999999998,2.35220,.00000
2025-11-18,HC1DBSQ33DV,BACKUPIO,416.03000,415.32000,.71000,151175.00000,7.4100000000000001,0.0028,.00270,.00000
2025-11-18,HC1DBSQ33DV,PREEMPTIVE_OS_AUTHENTICATIONOPS,164.50000,164.50000,.00000,686145.00000,2.9300000000000002,2.0000000000000001E-4,.00020,.00000
2025-11-18,HC1DBSQ33DV,MSQL_XP,85.54000,85.54000,.00000,21301.00000,1.52,4.0000000000000001E-3,.00400,.00000
2025-11-18,AWSDBSQ50DV,SOS_WORK_DISPATCHER,10634935.53000,10634796.93000,138.60000,1009555.00000,100,10.5343,10.53410,.00010
2025-11-18,AWSDBSQ50PV,SOS_WORK_DISPATCHER,91724050.74000,91723355.57000,695.16000,12788799.00000,97.959999999999994,7.1722000000000001,7.17220,.00010
2025-11-18,AWSDBSQ50QV,SOS_WORK_DISPATCHER,10413509.67000,10413460.11000,49.57000,2004530.00000,99.959999999999994,5.1950000000000003,5.19500,.00000
2025-11-18,AWSDBSQ50UV,SOS_WORK_DISPATCHER,10734102.56000,10733998.90000,103.66000,3308652.00000,99.870000000000005,3.2443,3.24420,.00000
2025-11-18,AWSDBSQ51DV,SOS_WORK_DISPATCHER,12724980.51000,12724930.29000,50.22000,1400683.00000,99.980000000000004,9.0847999999999995,9.08480,.00000
2025-11-18,AWSDBSQ51QV,SOS_WORK_DISPATCHER,14470680.53000,14470354.05000,326.48000,4922723.00000,83.680000000000007,2.9396,2.93950,.00010
2025-11-18,AWSDBSQ51QV,CXPACKET,1198755.50000,1190128.00000,8627.51000,50394287.00000,6.9299999999999997,2.3800000000000002E-2,.02360,.00020
2025-11-18,AWSDBSQ51QV,CXCONSUMER,1180625.56000,1174444.40000,6181.16000,50288467.00000,6.8300000000000001,0.0235,.02340,.00010
2025-11-18,AWSDBSQ51UV,SOS_WORK_DISPATCHER,13795657.65000,13795375.43000,282.22000,6340752.00000,91.870000000000005,2.1757,2.17570,.00000
2025-11-18,AWSDBSQ51UV,CXCONSUMER,490820.72000,487133.80000,3686.92000,24817654.00000,3.27,1.9800000000000002E-2,.01960,.00010
2025-11-18,AWSDBSQ62DV,SOS_WORK_DISPATCHER,16506543.14000,16506313.48000,229.66000,2172450.00000,98.269999999999996,7.5980999999999996,7.59800,.00010
